filename,size_mb,domain,confidence,is_book,title,authors_str,year,priority_score,duplicate_group,flags_str,sha256,pages
"Joshua Schimel - Writing Science_ How to Write Papers That Get Cited and Proposals That Get Funded-Oxford University Press, USA (2011) (1).pdf",1.5,unclassified,unclassified,True,"Writing Science: How to Write Papers That Get Cited and Proposals That Get Funded-Oxford University Press, USA",Joshua Schimel,2011,35,,,d1f9a60be3b9532c71079c9233e0d0eab9fc1b826888a046d038770064fe1e60,236
"Joshua Schimel - Writing Science_ How to Write Papers That Get Cited and Proposals That Get Funded-Oxford University Press, USA (2011).pdf",3.6,unclassified,unclassified,True,Writing Science,Joshua Schimel,2011,35,,,0a1ada8a442bb45b2256ccb9433c5a6e399d103bf7110c1aea0ce264059b36e8,236
Karl Johan strm - Introduction to Stochastic Control Theory-Academic Press (1970).pdf,2.3,signal_processing,low,True,Introduction to Stochastic Control Theory,Karl Johan strm,1970,35,,,20a7aba33e35bcbfb27e51acc4a85edd215779e256e8daae547a0c06fc5fd456,307
"Kelly Starrett - Becoming a Supple Leopard_ The Ultimate Guide to Resolving Pain, Preventing Injury, and Optimizing Athletic Performance-Victory Belt Publishing (2015).pdf",48.5,fitness,medium,True,Becoming a Supple Leopard,Kelly Starrett,2015,35,fuzzy_dup_430,possible_duplicate,7ea36355a9aa668e33576889df0cc5c8455be6c41336b44ab44aa1c804a6c2f8,1278
KollerFriedman.pdf,9.0,machine_learning,low,True,KollerFriedman,Daphne Koller; Nir Friedman,,35,,,75c22931b9d2cb7d76850dafd1df199b3d81b63e472bf010b48accaf50517e3b,1270
LandauLifshitz-ElectrodynamicsOfContinuousMedia.pdf,23.3,physics,low,True,LandauLifshitz-ElectrodynamicsOfContinuousMedia,,,35,,,17dd539ffddc43be3402f4973e3855dc3d6fce5e502a940ea0e938b59e6f3bac,429
LandauLifshitz-FluidMechanics.pdf,24.8,unclassified,unclassified,True,LandauLifshitz-FluidMechanics,,,35,,,00168c10e9c433442e98efb355c0edc09ab7199670e18ca602f186e5233e79d7,551
LandauLifshitz-QuantumMechanics.pdf,28.7,unclassified,unclassified,True,LandauLifshitz-QuantumMechanics,,,35,,,cd2c02b767b5420ab2e4c609ca9e548ac38f3a2faa3a0759d0cb0afe61cba67b,632
"Lawrence Perko - Differential Equations and Dynamical Systems, Third Edition (2006).pdf",7.1,dynamical_systems,high,True,"Differential Equations and Dynamical Systems, Third Edition",Lawrence Perko,2006,35,,,2378b81a609660078456033b5afedb903f3c929e8e525ef2dcc42f945408e95d,571
Lectures on Boolean Algebras (Paul R. Halmos).pdf,14.4,algebra,low,True,Lectures on Boolean Algebras (Paul R. Halmos),halbulario,,35,,,29ceb004667c554c916b8424ba0a544f2317f4145b93de6d51652fff43c4b0cc,153
Lee Peter - Bayesian Statistics_ an Introduction-John Wiley Sons 2012.pdf,2.9,statistics,low,True,Bayesian Statistics,Lee; Peter M,2012,35,hash_dup_283,possible_duplicate,91c22afbfd238d18538d6db340f7b866723c2a877fdb52585713f6ee804ef9e9,488
