sha256,filename,file_size_mb,domain,confidence,priority_score,title,authors,year,publisher,is_book,r2_isbns,r2_ol_title,r2_ol_found,r2_classification_domain,r2_classification_confidence,r2_classification_method,r2_chars_extracted,r2_extractable,r2_has_toc,r2_content_fingerprint,reclassified_as_book,duplicate_group,r2_dedup_is_best_copy
a77cd490a97faf10a7efb407aa11aad61f3967a35c778bad51d981b8dbfb6b8b,Mathematical Surveys and Monographs 149 Gerald B Folland-Quantum field theory-American Mathematical Society 2008.pdf,2.2,algebra,low,70,Mathematical Surveys and Monographs 149 Gerald B Folland-Quantum field theory-American Mathematical Society 2008,,2008,,True,9780821847053,,,physics,low,keyword_text,5635,True,True,942b3e3f4f6f169f,,,True
6f540a12c7dbbe00305fae0916a7e05891b5387a0ab5c30aa408b2cd7a8368d0,"MacKay, Robert S._ Meiss, J. D - Hamiltonian dynamical systems_ a reprint selection (2020, CRC Press) - libgen.li.pdf",30.38,dynamical_systems,high,65,Hamiltonian Dynamical Systems,R S MacKay,2020,,True,,,,dynamical_systems,high,claude_code,1949,True,False,,,,True
7a540d76a37f29d57446ea34795e5dd759d9763c6f3f573c25df347045a07055,"(2nd) Andrew Hunt_ David Hurst Thomas - The Pragmatic Programmer_ Your Journey to Mastery, 20th Anniversary Edition-Addison-Wesley Professional (2019).pdf",4.2,software_engineering,medium,65,"The Pragmatic Programmer: your journey to mastery, 20th Anniversary Edition, 2nd Edition",Andrew Hunt & David Thomas,2019,,True,,,,software_engineering,medium,claude_code,2166,True,False,11aa2cd0d53a7bc6,,,True
af84f9bfbefdd9a3de6385f29711d365d299fff3d7dfb96292b4b4c6471d7c55,"(INTERNATIONAL SERIES IN PURE AND APPLIED PHYSICS) Barger, Vernon_ Olsson, Martin-Classical Mechanics_ A modern perspective-McGraw-Hill (1995).pdf",50.54,dynamical_systems,high,65,"Barger, Vernon: Olsson, Martin-Classical Mechanics: A modern perspective-McGraw-Hill",,1995,,True,,,,physics,medium,keyword_text,10946,True,False,69b1d0650c50527e,,,True
a6741ca75da07bad5200a3a74128646ea10763434f8bf3bc32c37012a621ca42,Classical Electrodynamics J D Jackson 3rd edition.pdf,84.3,physics,medium,65,Classical Electrodynamics J D Jackson 3rd edition,Acampo GmbH,,,True,,,,physics,medium,claude_code,6647,True,False,e8736dc55eda8fd3,,,True
25be3ac7d9ad27cc5555fad21ff58eeb29b8efd73ec88117f71b08695d217c7e,"Daniel Jurafsky, James H. Martin - Speech and Language Processing [draft]-Prentice Hall (2008).pdf",41.21,rag_llm,medium,65,Speech and Language Processing [draft],Daniel Jurafsky; James H. Martin,2008,Prentice Hall,True,,,,rag_llm,medium,claude_code,2522,True,False,cf7442e83a9af572,,,True
2e76586981f5485050454b0c0bcf2392a4419dd9c01f39df0cbf06bfb9d2fcc8,Dover Books on Physics and Chemistry Richard D Mattuck-A Guide to Feynman Diagrams in the Many-Body Problem-Dover Publications 1992.pdf,20.04,physics,medium,65,Dover Books on Physics and Chemistry Richard D Mattuck-A Guide to Feynman Diagrams in the Many-Body Problem-Dover Publications 1992,,1992,,True,,,,physics,medium,claude_code,17278,True,False,e94be071ded11b24,,,True
0c1e7bd1676260feb5ec909839b01f1ff16538febfe23755192e565895202e4c,"Judea Pearl - Causality_ Models, Reasoning and Inference-Cambridge University Press (2009).pdf",7.28,causal_inference,medium,65,"Causality: Models, Reasoning and Inference",Judea Pearl,2009,Cambridge University Press,True,,,,causal_inference,medium,claude_code,5445,True,False,1f7166f465a2a5fd,,,True
ebb0510a8744f8a90d0dde4856fd8683afe619993c4f979eabecdb78bca600d4,"Philippe Jorion - Value at Risk, 3rd Ed._ The New Benchmark for Managing Financial Risk-McGraw-Hill (2006) 2.pdf",22.57,finance,medium,65,"Value at Risk, 3rd Ed.: The New Benchmark for Managing Financial Risk-McGraw",Philippe Jorion,2006,Hill,True,,,,finance,medium,claude_code,7727,True,False,ff42ea084703e3c0,,fuzzy_dup_441,True
c5af17c41cc4049f9b3f028ad513182d316d6d1c7a1d683250fb18bda2e48d6d,Richard L Burden J Douglas FairesNumerical analysisBrooksCole Cengage Learning 2011.pdf,14.53,numerical_methods,medium,65,"Numerical Analysis, 9th ed.",Richard L. Burden,2011,,True,,,,numerical_methods,medium,claude_code,1839,True,False,fc78a790a75de50f,,,True
